col,null_count,null_pct,zero_count,zero_pct
F2000,506,26.38,0,0.0
F2001,476,24.82,0,0.0
F2002,452,23.57,0,0.0
F2003,444,23.15,0,0.0
F2004,407,21.22,0,0.0
F2005,368,19.19,0,0.0
F2006,345,17.99,0,0.0
F2007,301,15.69,0,0.0
F2008,261,13.61,0,0.0
F2009,215,11.21,0,0.0
F2010,165,8.6,0,0.0
F2011,123,6.41,0,0.0
F2012,78,4.07,0,0.0
F2013,23,1.2,0,0.0
F2014,2,0.1,0,0.0
F2015,6,0.31,0,0.0
F2016,9,0.47,0,0.0
F2017,8,0.42,0,0.0
F2018,8,0.42,0,0.0
F2019,7,0.36,0,0.0
F2020,7,0.36,0,0.0
F2021,9,0.47,0,0.0
F2022,9,0.47,0,0.0
F2023,950,49.53,0,0.0
